senlen,objnum,subnum,treedepth
0.1670190275,0.875,0.88,0.2304439746
0.1712473573,0.875,0.88,0.2304439746
0.1691331924,0.875,0.88,0.2198731501
0.1627906977,0.8333333333,0.8933333333,0.2262156448
0.177589852,0.8333333333,0.88,0.2325581395
0.1585623679,0.8194444444,0.88,0.2241014799
0.1712473573,0.8333333333,0.88,0.2346723044
0.1670190275,0.8611111111,0.88,0.2304439746
0.1797040169,0.8194444444,0.8666666667,0.2410147992
0.1691331924,0.8194444444,0.8933333333,0.221987315
0.1712473573,0.8194444444,0.9066666667,0.2325581395
0.1670190275,0.8194444444,0.9066666667,0.2304439746
0.1860465116,0.8055555556,0.8933333333,0.2029598309
0.1691331924,0.8194444444,0.8933333333,0.2156448203
0.1712473573,0.8194444444,0.8933333333,0.2304439746
0.1627906977,0.7916666667,0.7466666667,0.1627906977
0.1754756871,0.8055555556,0.76,0.1670190275
0.156448203,0.8055555556,0.7733333333,0.1902748414
0.1479915433,0.8194444444,0.8,0.1754756871
0.1797040169,0.7777777778,0.7733333333,0.1670190275
0.1733615222,0.8194444444,0.7866666667,0.1543340381
0.1479915433,0.7916666667,0.76,0.1522198732
0.1501057082,0.7361111111,0.7733333333,0.1585623679
0.1649048626,0.7777777778,0.76,0.1670190275
0.1543340381,0.75,0.7733333333,0.1606765328
0.1458773784,0.7083333333,0.8133333333,0.1522198732
0.1585623679,0.7361111111,0.7866666667,0.1395348837
0.1649048626,0.7361111111,0.8266666667,0.1479915433
0.1754756871,0.7083333333,0.7866666667,0.1479915433
0.1522198732,0.6944444444,0.8,0.1501057082
0.1522198732,0.7361111111,0.7866666667,0.156448203
0.1437632135,0.7916666667,0.8266666667,0.177589852
0.156448203,0.75,0.8,0.1522198732
0.1522198732,0.7222222222,0.8533333333,0.1881606765
0.1543340381,0.6944444444,0.8,0.1818181818
0.133192389,0.7222222222,0.7866666667,0.177589852
0.1374207188,0.75,0.7733333333,0.1902748414
0.1627906977,0.8472222222,0.8133333333,0.1923890063
0.1627906977,0.7916666667,0.8133333333,0.1839323467
0.1649048626,0.75,0.7733333333,0.1543340381
0.1522198732,0.7916666667,0.84,0.1797040169
0.1606765328,0.7777777778,0.8266666667,0.156448203
0.1670190275,0.7638888889,0.8,0.1543340381
0.1691331924,0.75,0.8,0.1353065539
0.1522198732,0.75,0.8,0.1522198732
0.1501057082,0.7083333333,0.8133333333,0.1649048626
0.1416490486,0.7361111111,0.8533333333,0.1670190275
0.1501057082,0.7638888889,0.8133333333,0.1733615222
0.1543340381,0.7361111111,0.7733333333,0.1543340381
0.1649048626,0.7361111111,0.8,0.1649048626
0.1543340381,0.8055555556,0.8,0.177589852
0.1501057082,0.7361111111,0.8,0.1733615222
0.1416490486,0.7083333333,0.8,0.1754756871
0.1268498943,0.7083333333,0.84,0.177589852
0.1226215645,0.75,0.84,0.1606765328
0.133192389,0.75,0.8266666667,0.1670190275
0.156448203,0.7638888889,0.7733333333,0.1606765328
0.1585623679,0.7916666667,0.8266666667,0.1522198732
0.1649048626,0.75,0.7866666667,0.1374207188
0.133192389,0.7361111111,0.7866666667,0.1522198732
0.1479915433,0.75,0.8,0.1437632135
0.1733615222,0.7222222222,0.8266666667,0.156448203
0.1649048626,0.7083333333,0.8133333333,0.1522198732
0.1437632135,0.8194444444,0.7733333333,0.1374207188
0.156448203,0.8055555556,0.8,0.1522198732
0.1501057082,0.8194444444,0.7866666667,0.1691331924
0.1585623679,0.8611111111,0.8133333333,0.1247357294
0.1649048626,0.8055555556,0.7733333333,0.1437632135
0.1649048626,0.8472222222,0.7733333333,0.1522198732
0.1310782241,0.8194444444,0.7066666667,0.1585623679
0.1310782241,0.7916666667,0.8,0.1691331924
0.1501057082,0.8055555556,0.7333333333,0.1501057082
0.1543340381,0.75,0.7733333333,0.1543340381
0.1268498943,0.75,0.72,0.1606765328
0.1543340381,0.8055555556,0.7333333333,0.1860465116
0.1395348837,0.7777777778,0.76,0.1289640592
0.1543340381,0.7777777778,0.8133333333,0.1522198732
0.1501057082,0.7916666667,0.8133333333,0.1606765328
0.1818181818,0.7777777778,0.8266666667,0.1395348837
0.1670190275,0.7638888889,0.8,0.1374207188
0.1649048626,0.7638888889,0.8133333333,0.1437632135
0.1501057082,0.8055555556,0.7866666667,0.1712473573
0.1585623679,0.7638888889,0.7333333333,0.1818181818
0.1606765328,0.7916666667,0.7733333333,0.177589852
0.1437632135,0.7222222222,0.72,0.1754756871
0.1374207188,0.7083333333,0.76,0.1818181818
0.1437632135,0.8055555556,0.7333333333,0.1733615222
0.1458773784,0.7777777778,0.8266666667,0.1543340381
0.1670190275,0.75,0.8,0.177589852
0.1627906977,0.75,0.84,0.1627906977
0.1670190275,0.7916666667,0.84,0.1458773784
0.1522198732,0.7916666667,0.84,0.1501057082
0.1416490486,0.8333333333,0.84,0.1289640592
0.1268498943,0.8194444444,0.84,0.1458773784
0.1522198732,0.7638888889,0.7866666667,0.1691331924
0.1458773784,0.7638888889,0.7733333333,0.1649048626
0.1395348837,0.6805555556,0.8133333333,0.1226215645
0.1458773784,0.6388888889,0.7733333333,0.1691331924
0.1479915433,0.7361111111,0.76,0.1395348837
0.1479915433,0.7361111111,0.7733333333,0.1839323467
0.1479915433,0.7361111111,0.8266666667,0.177589852
0.156448203,0.7361111111,0.8,0.1797040169
0.1374207188,0.7638888889,0.7733333333,0.156448203
0.1543340381,0.7361111111,0.7733333333,0.1839323467
0.1479915433,0.7083333333,0.72,0.177589852
0.1395348837,0.6805555556,0.8133333333,0.1585623679
0.1437632135,0.7222222222,0.7733333333,0.1543340381
0.1437632135,0.75,0.72,0.1585623679
0.1733615222,0.7083333333,0.7466666667,0.1522198732
0.1627906977,0.6666666667,0.7466666667,0.1733615222
0.1585623679,0.7361111111,0.6933333333,0.1691331924
0.1374207188,0.75,0.8,0.1670190275
0.1501057082,0.7222222222,0.7733333333,0.1839323467
0.1458773784,0.7222222222,0.7866666667,0.1712473573
0.1479915433,0.7638888889,0.8533333333,0.177589852
0.1289640592,0.7916666667,0.7733333333,0.1627906977
0.156448203,0.8333333333,0.8133333333,0.1479915433
0.1353065539,0.8055555556,0.8266666667,0.1416490486
0.1479915433,0.7777777778,0.8266666667,0.1649048626
0.1310782241,0.75,0.8533333333,0.1585623679
0.133192389,0.6805555556,0.8533333333,0.1691331924
0.1458773784,0.7083333333,0.8266666667,0.1543340381
0.1691331924,0.75,0.8,0.1395348837
0.1522198732,0.7638888889,0.7466666667,0.1247357294
0.1585623679,0.8055555556,0.76,0.1247357294
0.156448203,0.7916666667,0.8,0.1479915433
0.1395348837,0.7916666667,0.7733333333,0.1606765328
0.1543340381,0.8055555556,0.8133333333,0.1268498943
0.1395348837,0.8333333333,0.8133333333,0.1289640592
0.156448203,0.8333333333,0.7866666667,0.1141649049
0.1522198732,0.7777777778,0.7733333333,0.1395348837
0.1416490486,0.7777777778,0.76,0.1437632135
0.1501057082,0.8055555556,0.7733333333,0.1501057082
0.156448203,0.7361111111,0.7866666667,0.1501057082
0.1670190275,0.7361111111,0.7333333333,0.1627906977
0.1501057082,0.7916666667,0.7866666667,0.1522198732
0.1522198732,0.7777777778,0.7733333333,0.1543340381
0.1247357294,0.7916666667,0.8133333333,0.1522198732
0.1437632135,0.8055555556,0.8266666667,0.177589852
0.133192389,0.7361111111,0.8133333333,0.1797040169
0.133192389,0.7222222222,0.8266666667,0.1627906977
0.1458773784,0.8194444444,0.8,0.1585623679
0.1395348837,0.8055555556,0.8,0.1839323467
0.1733615222,0.7361111111,0.8,0.1606765328
0.1458773784,0.7361111111,0.76,0.156448203
0.1543340381,0.75,0.76,0.1585623679
0.1522198732,0.75,0.7733333333,0.1902748414
0.1839323467,0.7083333333,0.68,0.1691331924
0.1902748414,0.6805555556,0.7066666667,0.1691331924
0.1543340381,0.7083333333,0.7733333333,0.177589852
0.1543340381,0.7361111111,0.7333333333,0.1627906977
0.1458773784,0.7777777778,0.72,0.1712473573
0.1479915433,0.75,0.7733333333,0.156448203
0.1501057082,0.75,0.6933333333,0.1649048626
0.1437632135,0.7638888889,0.7466666667,0.1522198732
0.1374207188,0.7638888889,0.68,0.1839323467
0.1289640592,0.7777777778,0.6933333333,0.1712473573
0.1437632135,0.7916666667,0.6933333333,0.200845666
0.1606765328,0.7916666667,0.68,0.2029598309
0.1501057082,0.7638888889,0.7866666667,0.1670190275
0.1627906977,0.7916666667,0.8266666667,0.1733615222
0.1437632135,0.7916666667,0.8133333333,0.1522198732
0.1585623679,0.8055555556,0.8133333333,0.1437632135
0.156448203,0.7916666667,0.8133333333,0.1543340381
0.1353065539,0.8055555556,0.76,0.1353065539
0.1247357294,0.8055555556,0.7866666667,0.1268498943
0.1437632135,0.7916666667,0.7466666667,0.1501057082
0.1458773784,0.7777777778,0.7733333333,0.1585623679
0.1479915433,0.7083333333,0.7333333333,0.1543340381
0.1670190275,0.7638888889,0.76,0.1606765328
0.156448203,0.7638888889,0.7466666667,0.1501057082
0.1839323467,0.8611111111,0.8133333333,0.1966173362
0.1627906977,0.7638888889,0.7733333333,0.1923890063
0.1797040169,0.7361111111,0.6666666667,0.200845666
0.1860465116,0.6944444444,0.7733333333,0.1945031712
0.1754756871,0.7361111111,0.7866666667,0.1818181818
0.1797040169,0.7638888889,0.76,0.1606765328
0.1902748414,0.7361111111,0.7333333333,0.1797040169
0.1691331924,0.7222222222,0.8,0.1797040169
0.1670190275,0.7777777778,0.7866666667,0.1923890063
0.1437632135,0.8055555556,0.8,0.1945031712
0.156448203,0.8055555556,0.7333333333,0.200845666
0.1543340381,0.75,0.76,0.1966173362
0.1691331924,0.8333333333,0.8933333333,0.2367864693
0.1691331924,0.7361111111,0.8533333333,0.200845666
0.1627906977,0.7361111111,0.8133333333,0.2156448203
0.1670190275,0.75,0.8266666667,0.2029598309
0.1754756871,0.6805555556,0.8133333333,0.2156448203
0.1501057082,0.6527777778,0.8,0.2241014799
0.1606765328,0.7361111111,0.8266666667,0.2050739958
0.1522198732,0.7777777778,0.8133333333,0.2071881607
0.1670190275,0.7361111111,0.7866666667,0.2262156448
0.1691331924,0.7083333333,0.7733333333,0.2325581395
0.1543340381,0.7083333333,0.84,0.1818181818
0.1649048626,0.75,0.8133333333,0.1733615222
0.1902748414,0.8055555556,0.8666666667,0.245243129
0.1754756871,0.7916666667,0.7866666667,0.2177589852
0.1712473573,0.7638888889,0.8,0.2114164905
0.1649048626,0.7361111111,0.7466666667,0.2135306554
0.1606765328,0.7638888889,0.8133333333,0.2156448203
0.1754756871,0.7361111111,0.7733333333,0.2262156448
0.156448203,0.8055555556,0.7866666667,0.221987315
0.1902748414,0.7916666667,0.8266666667,0.2114164905
0.1902748414,0.8055555556,0.84,0.2135306554
0.1585623679,0.7777777778,0.8133333333,0.2135306554
0.1818181818,0.7916666667,0.8,0.1860465116
0.1797040169,0.8333333333,0.7866666667,0.1902748414
0.1691331924,0.8333333333,0.8933333333,0.2029598309
0.156448203,0.8194444444,0.8133333333,0.1881606765
0.1733615222,0.7638888889,0.8133333333,0.1860465116
0.156448203,0.7777777778,0.8266666667,0.1923890063
0.1860465116,0.7916666667,0.7733333333,0.1797040169
0.1649048626,0.8055555556,0.7866666667,0.1839323467
0.1797040169,0.8472222222,0.76,0.1797040169
0.1395348837,0.7916666667,0.76,0.1860465116
0.1627906977,0.7916666667,0.8266666667,0.1691331924
0.156448203,0.7777777778,0.8133333333,0.1797040169
0.1479915433,0.7638888889,0.84,0.1691331924
0.1543340381,0.7083333333,0.8,0.1649048626
0.1987315011,0.8333333333,0.7866666667,0.1987315011
0.1670190275,0.7777777778,0.8133333333,0.1881606765
0.1585623679,0.7638888889,0.7466666667,0.1860465116
0.1923890063,0.7777777778,0.7466666667,0.1797040169
0.1479915433,0.7916666667,0.76,0.1945031712
0.1649048626,0.7916666667,0.6933333333,0.1712473573
0.1712473573,0.7916666667,0.7733333333,0.1902748414
0.1923890063,0.8472222222,0.7866666667,0.1902748414
0.1860465116,0.7777777778,0.7333333333,0.2156448203
0.1881606765,0.8194444444,0.7866666667,0.1987315011
0.1606765328,0.8472222222,0.8533333333,0.1966173362
0.1691331924,0.7638888889,0.7866666667,0.2029598309
0.1839323467,0.8333333333,0.84,0.2071881607
0.1881606765,0.7916666667,0.7733333333,0.1733615222
0.1733615222,0.7777777778,0.76,0.1627906977
0.1670190275,0.7916666667,0.7333333333,0.1923890063
0.177589852,0.7638888889,0.8266666667,0.2071881607
0.1860465116,0.7638888889,0.8266666667,0.1627906977
0.1818181818,0.7777777778,0.8666666667,0.2029598309
0.1754756871,0.8472222222,0.8933333333,0.1945031712
0.1733615222,0.7777777778,0.8533333333,0.2050739958
0.177589852,0.8055555556,0.84,0.1860465116
0.1606765328,0.8194444444,0.88,0.2050739958
0.1627906977,0.8055555556,0.8133333333,0.2135306554
0.1691331924,0.8472222222,0.8266666667,0.2071881607
0.1712473573,0.7222222222,0.8,0.2050739958
0.1649048626,0.7777777778,0.8,0.1860465116
0.1881606765,0.7638888889,0.7866666667,0.2029598309
0.1733615222,0.6944444444,0.8,0.2050739958
0.1670190275,0.75,0.6533333333,0.2029598309
0.1797040169,0.75,0.8266666667,0.2241014799
0.1670190275,0.7777777778,0.8266666667,0.2262156448
0.1649048626,0.7361111111,0.8533333333,0.2177589852
0.1437632135,0.7083333333,0.7733333333,0.2198731501
0.1712473573,0.7916666667,0.7733333333,0.2177589852
0.1818181818,0.7222222222,0.7466666667,0.1860465116
0.1860465116,0.8333333333,0.8533333333,0.1881606765
0.1606765328,0.7777777778,0.7066666667,0.1860465116
0.1458773784,0.75,0.7466666667,0.2071881607
0.1670190275,0.7916666667,0.7733333333,0.1733615222
0.1923890063,0.7638888889,0.76,0.200845666
0.1881606765,0.7638888889,0.76,0.1712473573
0.1649048626,0.7916666667,0.8,0.1881606765
0.1818181818,0.8055555556,0.7733333333,0.200845666
0.156448203,0.8194444444,0.7466666667,0.1902748414
0.1585623679,0.7916666667,0.7333333333,0.2071881607
0.156448203,0.7777777778,0.7733333333,0.1945031712
0.156448203,0.7916666667,0.8266666667,0.200845666
0.1691331924,0.8194444444,0.84,0.200845666
0.1691331924,0.75,0.7866666667,0.1860465116
0.1691331924,0.75,0.7866666667,0.1712473573
0.1522198732,0.7638888889,0.7866666667,0.1987315011
0.156448203,0.75,0.72,0.2177589852
0.177589852,0.7916666667,0.7466666667,0.1839323467
0.1585623679,0.7222222222,0.8133333333,0.1987315011
0.1585623679,0.8333333333,0.7466666667,0.2114164905
0.1522198732,0.7777777778,0.8266666667,0.2029598309
0.1416490486,0.7916666667,0.76,0.1966173362
0.1606765328,0.7916666667,0.7733333333,0.2262156448
0.1670190275,0.7638888889,0.76,0.1987315011
0.1374207188,0.7916666667,0.8266666667,0.1987315011
0.1479915433,0.6944444444,0.68,0.1797040169
0.1754756871,0.75,0.6933333333,0.1691331924
0.1522198732,0.6388888889,0.6533333333,0.1818181818
0.1479915433,0.6944444444,0.76,0.1860465116
0.1501057082,0.7638888889,0.76,0.1606765328
0.1754756871,0.8055555556,0.7866666667,0.1691331924
0.1691331924,0.7916666667,0.7866666667,0.177589852
0.1670190275,0.75,0.7733333333,0.2071881607
0.1606765328,0.7777777778,0.8,0.1860465116
0.1691331924,0.7361111111,0.8266666667,0.1670190275
0.1585623679,0.7222222222,0.7733333333,0.1712473573
0.1733615222,0.8055555556,0.8266666667,0.1754756871
0.1881606765,0.8055555556,0.7733333333,0.1966173362
0.1649048626,0.8472222222,0.6933333333,0.177589852
0.1627906977,0.8194444444,0.7866666667,0.1818181818
0.1585623679,0.8194444444,0.7466666667,0.1797040169
0.1522198732,0.8055555556,0.8266666667,0.1627906977
0.156448203,0.8472222222,0.84,0.1712473573
0.1522198732,0.8472222222,0.8533333333,0.177589852
0.1585623679,0.8888888889,0.8,0.1797040169
0.1606765328,0.8055555556,0.7866666667,0.1860465116
0.1522198732,0.8472222222,0.7466666667,0.1712473573
0.177589852,0.7777777778,0.7733333333,0.1670190275
0.1670190275,0.7638888889,0.8133333333,0.2283298097
0.1501057082,0.8194444444,0.76,0.1966173362
0.1543340381,0.7638888889,0.7466666667,0.1966173362
0.1670190275,0.7361111111,0.6933333333,0.1839323467
0.1416490486,0.75,0.7066666667,0.177589852
0.156448203,0.75,0.7066666667,0.1923890063
0.1479915433,0.8194444444,0.72,0.2135306554
0.177589852,0.7361111111,0.6933333333,0.1902748414
0.1670190275,0.7222222222,0.7066666667,0.2071881607
0.1606765328,0.7083333333,0.7066666667,0.2029598309
0.1606765328,0.7777777778,0.7466666667,0.1945031712
0.1543340381,0.75,0.72,0.1987315011
0.1839323467,0.8333333333,0.88,0.2114164905
0.1712473573,0.7916666667,0.7733333333,0.1712473573
0.1627906977,0.7222222222,0.8,0.1839323467
0.1479915433,0.6805555556,0.76,0.1881606765
0.1797040169,0.7638888889,0.8,0.1945031712
0.1797040169,0.7361111111,0.8,0.1797040169
0.1733615222,0.7361111111,0.8133333333,0.1881606765
0.1839323467,0.7777777778,0.7466666667,0.1902748414
0.1754756871,0.75,0.7333333333,0.1881606765
0.1627906977,0.75,0.76,0.1754756871
0.1670190275,0.7222222222,0.7466666667,0.1987315011
0.1543340381,0.7777777778,0.84,0.1966173362
0.1416490486,0.75,0.8133333333,0.156448203
0.1522198732,0.7361111111,0.8133333333,0.1522198732
0.1374207188,0.75,0.7866666667,0.1733615222
0.1522198732,0.7777777778,0.7866666667,0.1797040169
0.1437632135,0.7638888889,0.8,0.1522198732
0.1205073996,0.7361111111,0.84,0.1543340381
0.1437632135,0.7916666667,0.8,0.1670190275
0.1395348837,0.7638888889,0.8666666667,0.1733615222
0.1649048626,0.7916666667,0.8266666667,0.1797040169
0.156448203,0.7361111111,0.8266666667,0.133192389
0.1479915433,0.7222222222,0.8133333333,0.1247357294
0.1543340381,0.6944444444,0.8133333333,0.1627906977
0.1416490486,0.75,0.8533333333,0.1606765328
0.1479915433,0.6805555556,0.8933333333,0.1585623679
0.1543340381,0.6944444444,0.88,0.1501057082
0.156448203,0.7222222222,0.8666666667,0.1797040169
0.1458773784,0.7361111111,0.8266666667,0.1712473573
0.1501057082,0.7361111111,0.8533333333,0.1712473573
0.156448203,0.75,0.84,0.1501057082
0.1416490486,0.7222222222,0.84,0.1437632135
0.1416490486,0.7361111111,0.8533333333,0.1585623679
0.1226215645,0.7916666667,0.8266666667,0.1395348837
0.1099365751,0.7777777778,0.8,0.1437632135
0.1395348837,0.7222222222,0.8133333333,0.1585623679
0.156448203,0.7361111111,0.7733333333,0.1479915433
0.1374207188,0.7361111111,0.8266666667,0.1247357294
0.1353065539,0.7083333333,0.8933333333,0.1416490486
0.1268498943,0.7361111111,0.8533333333,0.1585623679
0.1395348837,0.7083333333,0.8133333333,0.1627906977
0.1099365751,0.6805555556,0.8,0.1754756871
0.1183932347,0.7222222222,0.8,0.1458773784
0.1289640592,0.7222222222,0.8266666667,0.1839323467
0.133192389,0.8055555556,0.8133333333,0.1818181818
0.1395348837,0.7083333333,0.76,0.1712473573
0.1205073996,0.75,0.7066666667,0.1691331924
0.1226215645,0.7083333333,0.7066666667,0.1543340381
0.1627906977,0.8055555556,0.8533333333,0.1458773784
0.177589852,0.7361111111,0.8666666667,0.1712473573
0.1437632135,0.7361111111,0.8666666667,0.1839323467
0.1479915433,0.7916666667,0.84,0.2050739958
0.1353065539,0.7777777778,0.8533333333,0.2283298097
0.1501057082,0.75,0.84,0.1670190275
0.1670190275,0.75,0.88,0.1987315011
0.1458773784,0.7916666667,0.88,0.1797040169
0.1437632135,0.7638888889,0.88,0.1860465116
0.1289640592,0.8055555556,0.88,0.1501057082
0.1289640592,0.7777777778,0.88,0.156448203
0.1479915433,0.7916666667,0.88,0.1458773784
0.1649048626,0.7083333333,0.8133333333,0.1289640592
0.1458773784,0.8194444444,0.8266666667,0.1437632135
0.1416490486,0.7916666667,0.8,0.1522198732
0.1437632135,0.7777777778,0.8133333333,0.1649048626
0.1543340381,0.75,0.8,0.1670190275
0.1353065539,0.7222222222,0.8,0.1585623679
0.1458773784,0.6944444444,0.84,0.1606765328
0.1712473573,0.7361111111,0.7733333333,0.1437632135
0.1585623679,0.7777777778,0.7866666667,0.1733615222
0.1458773784,0.75,0.7733333333,0.133192389
